DATA,1001,1002,1003,1004,1005,1010,1011,1012,1013,1020,1021,1022,1023,1030,1032,1034,1036,1040,1041,1042,1060,1062,1063,1064,1065,1066,1070,1072,1074,1080,1090
2025-12-05 15:38:25,120,63,611,88,696,65531,65533,65535,17,0,0,0,65535,16,4,24,14,21,1,0,233,233,9997,9997,0,0,2,0,0,35,0
2025-12-05 15:38:35,120,62,628,88,682,65530,65533,65534,19,0,0,0,65535,16,4,24,14,21,1,0,232,233,9997,9997,0,0,2,0,0,35,0
2025-12-05 15:38:44,120,62,663,88,714,65529,65533,65535,18,0,0,0,65535,16,4,24,14,21,1,0,232,233,9997,9997,0,0,2,0,0,35,0
